,area sembrada,area cosechada,produccion,rendimiento,cultivo,municipio,PERIODO,pred knn,pred rf,pred rl,pred rlaso
0,180,20,34,1.7,ARVEJA,CUCAITA,2006B,16.4,19.856080000000002,15.508346557617188,12.884050697558974
1,120,120,180,1.5,ARVEJA,PESCA,2006B,11.0,15.97044,11.681198120117188,12.19552002647232
2,120,120,240,2.0,ARVEJA,SOCOTA,2006B,1.6320000000000001,1.6367600000000002,0.3061981201171875,1.9232433302412515
3,100,100,200,2.0,ARVEJA,SORACA,2006B,5.04,0.8306599999999993,-0.4086456298828125,1.9220847449774041
4,1240,140,250,1.79,ARVEJA,TUNJA,2006B,2.6559999999999997,0.9899200000000014,1.7485809326171875,1.9277121591160933
5,586,496,700,1.41,ARVEJA,CIENEGA,2006B,11.032,14.118159999999994,11.913131713867188,13.099216532273553
6,400,300,630,2.1,ARVEJA,SAMACA,2006B,17.24,19.691440000000007,17.718307495117188,13.632496778004612
7,272,235,165,0.7,ARVEJA,COMBITA,2006B,1.65,1.112819999999999,2.9653778076171875,1.9239053789634504
8,245,220,340,1.55,ARVEJA,TOCA,2006B,11.868,1.474999999999998,3.9331512451171875,1.9225812815190535
9,210,210,420,2.0,ARVEJA,SIACHOQUE,2006B,3.7020000000000004,7.155080000000011,11.507369995117188,12.074530622490506
10,100,100,50,0.5,ARVEJA,UMBITA,2006B,7.159999999999999,11.677,11.339401245117188,12.070392817976764
11,91,39,68,1.75,ARVEJA,RAMIRIQUI,2006B,9.494,22.62962,16.075241088867188,12.966806787833812
12,90,90,90,1.0,ARVEJA,CHIQUINQUIRA,2006B,7.459999999999999,1.4923799999999976,-0.8905792236328125,1.9292017687410405
13,85,85,132,1.55,ARVEJA,GUATEQUE,2006B,4.465999999999999,15.612620000000001,13.901901245117188,12.2054507573053
14,80,60,108,1.8,ARVEJA,MONGUI,2006B,0.8160000000000001,0.7917799999999968,1.6460418701171875,1.936980841226875
15,72,36,14,0.38,ARVEJA,CHIVATA,2006B,4.14,1.0592200000000032,-0.3261260986328125,1.9257260129494966
16,70,60,90,1.5,ARVEJA,BOYACA,2006B,24.6,26.439340000000012,23.204635620117188,13.125400938832609
17,60,60,120,2.0,ARVEJA,BELEN,2006B,1.396,1.2869399999999986,2.3345184326171875,1.9267190860327954
18,60,54,86,1.59,ARVEJA,FIRAVITOBA,2006B,2.944,0.850300000000001,-0.1107940673828125,1.9239053789634504
19,54,53,56,1.05,ARVEJA,VIRACACHA,2006B,17.1,14.093560000000005,15.507369995117188,12.081316621893043
20,50,50,80,1.6,ARVEJA,BUENAVISTA,2006B,18.8,18.96618000000002,17.612838745117188,14.700546879091675
21,50,50,80,1.6,ARVEJA,JENESANO,2006B,9.66,13.694160000000005,11.092330932617188,12.11855686251672
22,50,50,90,1.8,ARVEJA,SORA,2006B,4.465999999999999,14.386219999999996,14.113327026367188,12.255104411470203
23,50,40,72,1.8,ARVEJA,VENTAQUEMADA,2006B,9.059999999999999,0.5016199999999986,5.0093231201171875,1.922746793699603
24,45,45,81,1.8,ARVEJA,CHIQUIZA,2006B,0.742,0.5210200000000009,-0.9223175048828125,1.929698305282689
25,40,40,28,0.7,ARVEJA,CALDAS,2006B,2.146,0.9946999999999998,1.5776824951171875,1.9250639642272986
26,40,40,80,2.0,ARVEJA,TIBANA,2006B,7.459999999999999,1.0891600000000001,2.9243621826171875,1.9235743546023514
27,38,17,20,1.16,ARVEJA,TURMEQUE,2006B,0.7,0.6278600000000001,0.5210418701171875,1.9220847449774041
28,34,34,37,1.1,ARVEJA,TENZA,2006B,6.960000000000001,22.4754,13.904830932617188,12.255104411470203
29,30,30,45,1.5,ARVEJA,GACHANTIVA,2006B,11.916,16.336000000000016,14.894088745117188,14.290904232231226
30,30,30,26,0.88,ARVEJA,MONGUA,2006B,13.48,17.7056,13.524948120117188,12.2054507573053
31,30,30,39,1.3,ARVEJA,NUEVO COLON,2006B,1.056,1.0398200000000009,1.6943817138671875,1.9260570373105965
32,30,30,40,1.33,ARVEJA,TOTA,2006B,3.5759999999999996,1.5832999999999946,3.1318817138671875,1.9336705976158814
33,28,24,48,2.0,ARVEJA,SUSACON,2006B,19.292,23.019140000000057,18.359909057617188,12.726814126036782
34,25,25,28,1.1,ARVEJA,SOTAQUIRA,2006B,1.292,1.3617199999999945,1.5200653076171875,1.922415769338503
35,20,18,36,2.0,ARVEJA,AQUITANIA,2006B,16.094,20.20706,20.055221557617188,16.02878212800283
36,20,20,24,1.2,ARVEJA,BOAVITA,2006B,4.14,1.7158999999999993,-0.3598175048828125,1.9253949885883976
37,20,20,20,1.0,ARVEJA,CUITIVA,2006B,6.33,0.5712199999999994,1.7358856201171875,1.923077818060702
38,20,20,40,2.0,ARVEJA,GARAGOA,2006B,12.788,18.225000000000023,14.526412963867188,13.288727979002934
39,20,18,14,0.8,ARVEJA,GUACAMAYAS,2006B,1.9440000000000002,0.5498000000000002,-1.3012237548828125,1.923077818060702
40,20,18,36,2.0,ARVEJA,MOTAVITA,2006B,1.308,0.7527799999999976,2.0093231201171875,1.9250639642272986
41,20,20,25,1.25,ARVEJA,PANQUEBA,2006B,6.33,1.053140000000005,2.2593231201171875,1.9248984520467483
42,20,19,20,1.05,ARVEJA,SANTA ROSA DE VITERBO,2006B,2.874,1.6885200000000014,-0.7484893798828125,1.9288707443799407
43,20,20,17,0.84,ARVEJA,SOGAMOSO,2006B,8.306000000000001,6.6280000000000125,11.706588745117188,12.061124135865981
44,20,20,35,1.75,ARVEJA,TASCO,2006B,5.965999999999999,0.9788000000000016,-1.5102081298828125,1.9240708911439999
45,16,16,16,1.0,ARVEJA,SUTATENZA,2006B,4.772,0.9381599999999993,2.2769012451171875,1.9232433302412515
46,15,12,24,2.0,ARVEJA,SOCHA,2006B,2.46,6.8414,12.136276245117188,12.060296574963234
47,12,11,8,0.7,ARVEJA,CHINAVITA,2006B,7.178,15.607760000000006,14.106979370117188,12.870809723115
48,10,5,2,0.4,ARVEJA,BUSBANZA,2006B,6.188000000000001,1.1688999999999992,0.8686981201171875,1.9267190860327954
49,10,10,8,0.8,ARVEJA,CHISCAS,2006B,1.368,1.45062,0.4287567138671875,1.9277121591160933
50,10,7,7,1.0,ARVEJA,CHIVOR,2006B,5.524,6.625160000000015,9.024948120117188,12.065592964740823
51,10,10,7,0.7,ARVEJA,LA CAPILLA,2006B,4.242,0.3801399999999998,2.2324676513671875,1.9240708911439999
52,10,9,15,1.67,ARVEJA,NOBSA,2006B,20.6,19.430759999999985,26.774948120117188,22.649269349989893
53,10,6,6,1.0,ARVEJA,OICATA,2006B,3.4840000000000004,0.9857800000000028,-2.0805206298828125,1.923077818060702
54,10,7,13,1.86,ARVEJA,PACHAVITA,2006B,8.620000000000001,11.024460000000001,11.552291870117188,12.147521494112913
55,10,10,20,2.0,ARVEJA,SAN MATEO,2006B,5.076,1.441699999999996,1.5391082763671875,1.9225812815190535
56,10,10,18,1.8,ARVEJA,TINJACA,2006B,10.4,10.755120000000003,11.290573120117188,12.096212718142514
