area sembrada,area cosechada,produccion,cultivo,PERIODO,rendimiento,municipio,prediccion
245,220,340,ARVEJA,2006B,1.55,TOCA,1.7
90,90,90,ARVEJA,2006B,1,CHIQUINQUIRA,1.017142857
80,60,108,ARVEJA,2006B,1.8,MONGUI,1.7615
72,36,14,ARVEJA,2006B,0.38,CHIVATA,0.215
60,60,120,ARVEJA,2006B,2,BELEN,1.986666667
50,40,72,ARVEJA,2006B,1.8,VENTAQUEMADA,1.658333333
40,40,80,ARVEJA,2006B,2,TIBANA,2.01875
30,30,45,ARVEJA,2006B,1.5,GACHANTIVA,1.492857143
30,30,26,ARVEJA,2006B,0.88,MONGUA,0.8975
28,24,48,ARVEJA,2006B,2,SUSACON,1.933333333
20,20,20,ARVEJA,2006B,1,CUITIVA,1
20,20,35,ARVEJA,2006B,1.75,TASCO,1.751666667
12,11,8,ARVEJA,2006B,0.7,CHINAVITA,0.758
6,6,9,ARVEJA,2006B,1.5,PISBA,1.5
5,5,9,ARVEJA,2006B,1.75,TUTA,1.796428571
3,3,2,ARVEJA,2006B,0.53,CERINZA,0.5
2,2,4,ARVEJA,2006B,2,SATIVANORTE,2
250,200,140,ARVEJA,2007A,0.7,CHITA,0.889583333
200,190,300,ARVEJA,2007A,1.58,TOCA,1.602857143
100,80,140,ARVEJA,2007A,1.75,SORACA,1.64702381
60,60,120,ARVEJA,2007A,2,BELEN,1.986666667
60,55,110,ARVEJA,2007A,2,SORA,1.953809524
49,48,86,ARVEJA,2007A,1.79,CHIQUIZA,1.575
30,28,56,ARVEJA,2007A,2,SUSACON,1.938333333
30,26,29,ARVEJA,2007A,1.1,TENZA,1.02
23,22,23,ARVEJA,2007A,1.05,SANTA ROSA DE VITERBO,1.05
20,20,35,ARVEJA,2007A,1.75,JENESANO,1.751666667
20,10,10,ARVEJA,2007A,1,JERICO,1
20,20,25,ARVEJA,2007A,1.25,PANQUEBA,1.245
20,20,22,ARVEJA,2007A,1.1,SOTAQUIRA,1.107142857
10,10,12,ARVEJA,2007A,1.23,MIRAFLORES,1.2
6,6,9,ARVEJA,2007A,1.5,LA UVITA,1.5
5,3,5,ARVEJA,2007A,1.5,CORRALES,1.7075
3,3,2,ARVEJA,2007A,0.5,SOATA,0.647666667
2,2,3,ARVEJA,2007A,1.8,TIPACOQUE,1.4975
180,120,216,ARVEJA,2007B,1.8,CUCAITA,1.656666667
120,120,180,ARVEJA,2007B,1.5,TOCA,1.47
80,70,49,ARVEJA,2007B,0.7,COMBITA,0.81375
80,80,104,ARVEJA,2007B,1.3,RAMIRIQUI,1.017142857
48,47,47,ARVEJA,2007B,1,GUATEQUE,1.115
40,40,60,ARVEJA,2007B,1.5,JENESANO,1.508333333
20,18,22,ARVEJA,2007B,1.2,BOAVITA,1.19
20,19,32,ARVEJA,2007B,1.68,UMBITA,1.7
18,18,36,ARVEJA,2007B,2,MOTAVITA,2
16,16,26,ARVEJA,2007B,1.67,PACHAVITA,1.651666667
15,15,18,ARVEJA,2007B,1.2,SOTAQUIRA,1.15
8,8,8,ARVEJA,2007B,1,PISBA,1.025
6,6,8,ARVEJA,2007B,1.33,GACHANTIVA,1.35125
4,4,5,ARVEJA,2007B,1.25,VILLA DE LEYVA,1.3
2,1,1,ARVEJA,2007B,1,BUSBANZA,1.106190476
150,140,98,ARVEJA,2008A,0.7,COMBITA,0.729166667
80,80,156,ARVEJA,2008A,1.95,RAMIRIQUI,1.867
70,70,133,ARVEJA,2008A,1.9,VENTAQUEMADA,1.844047619
60,50,90,ARVEJA,2008A,1.8,CHIQUIZA,1.8
53,53,56,ARVEJA,2008A,1.05,VIRACACHA,1.063
33,30,53,ARVEJA,2008A,1.77,TINJACA,1.71
30,30,21,ARVEJA,2008A,0.7,CHITA,0.7
21,18,23,ARVEJA,2008A,1.3,NUEVO COLON,1.27975
20,20,18,ARVEJA,2008A,0.88,MONGUA,0.882
18,18,36,ARVEJA,2008A,2,GARAGOA,2
15,15,23,ARVEJA,2008A,1.53,OICATA,1.515555556
15,15,23,ARVEJA,2008A,1.5,SANTA SOFIA,1.515555556
15,14,23,ARVEJA,2008A,1.64,UMBITA,1.601666667
10,6,4,ARVEJA,2008A,0.7,CALDAS,0.611
9,9,1,ARVEJA,2008A,0.08,PAYA,0.142857143
6,5,6,ARVEJA,2008A,1.2,VILLA DE LEYVA,1.205
3,3,2,ARVEJA,2008A,0.75,BUSBANZA,0.647666667
2349,2030,4263,ARVEJA,2008B,2.1,SAMACA,1.9075
