Date,TV,Radio,Newspaper,Sales
Jan-15,230.1,37.8,69.2,22.1
Jan-15,44.5,39.3,45.1,10.4
Jan-15,17.2,45.9,69.3,9.3
Jan-15,151.5,41.3,58.5,18.5
Jan-15,180.8,10.8,58.4,12.9
Feb-15,8.7,48.9,75,7.2
Feb-15,57.5,32.8,23.5,11.8
Feb-15,120.2,19.6,11.6,13.2
Feb-15,8.6,2.1,1,4.8
Mar-15,199.8,2.6,21.2,10.6
Mar-15,66.1,5.8,24.2,8.6
Mar-15,214.7,24,4,17.4
Mar-15,23.8,35.1,65.9,9.2
Apr-15,97.5,7.6,7.2,9.7
Apr-15,204.1,32.9,46,19
Apr-15,195.4,47.7,52.9,22.4
Apr-15,67.8,36.6,114,12.5
Apr-15,281.4,39.6,55.8,24.4
May-15,69.2,20.5,18.3,11.3
May-15,147.3,23.9,19.1,14.6
May-15,218.4,27.7,53.4,18
May-15,237.4,5.1,23.5,12.5
Jun-15,13.2,15.9,49.6,5.6
Jun-15,228.3,16.9,26.2,15.5
Jun-15,62.3,12.6,18.3,9.7
Jun-15,262.9,3.5,19.5,12
Jul-15,142.9,29.3,12.6,15
Jul-15,240.1,16.7,22.9,15.9
Jul-15,248.8,27.1,22.9,18.9
Jul-15,70.6,16,40.8,10.5
Jul-15,292.9,28.3,43.2,21.4
Aug-15,112.9,17.4,38.6,11.9
Aug-15,97.2,1.5,30,9.6
Aug-15,265.6,20,0.3,17.4
Aug-15,95.7,1.4,7.4,9.5
Sep-15,290.7,4.1,8.5,12.8
Sep-15,266.9,43.8,5,25.4
Sep-15,74.7,49.4,45.7,14.7
Sep-15,43.1,26.7,35.1,10.1
Oct-15,228,37.7,32,21.5
Oct-15,202.5,22.3,31.6,16.6
Oct-15,177,33.4,38.7,17.1
Oct-15,293.6,27.7,1.8,20.7
Oct-15,206.9,8.4,26.4,12.9
Nov-15,25.1,25.7,43.3,8.5
Nov-15,175.1,22.5,31.5,14.9
Nov-15,89.7,9.9,35.7,10.6
Nov-15,239.9,41.5,18.5,23.2
Dec-15,227.2,15.8,49.9,14.8
Dec-15,66.9,11.7,36.8,9.7
Dec-15,199.8,3.1,34.6,11.4
Dec-15,100.4,9.6,3.6,10.7
Dec-15,216.4,41.7,39.6,22.6
Jan-16,182.6,46.2,58.7,21.2
Jan-16,262.7,28.8,15.9,20.2
Jan-16,198.9,49.4,60,23.7
Jan-16,7.3,28.1,41.4,5.5
Feb-16,136.2,19.2,16.6,13.2
Feb-16,210.8,49.6,37.7,23.8
Feb-16,210.7,29.5,9.3,18.4
Feb-16,53.5,2,21.4,8.1
Mar-16,261.3,42.7,54.7,24.2
Mar-16,239.3,15.5,27.3,15.7
Mar-16,102.7,29.6,8.4,14
Mar-16,131.1,42.8,28.9,18
Mar-16,69,9.3,0.9,9.3
Apr-16,31.5,24.6,2.2,9.5
Apr-16,139.3,14.5,10.2,13.4
Apr-16,237.4,27.5,11,18.9
Apr-16,216.8,43.9,27.2,22.3
May-16,199.1,30.6,38.7,18.3
May-16,109.8,14.3,31.7,12.4
May-16,26.8,33,19.3,8.8
May-16,129.4,5.7,31.3,11
Jun-16,213.4,24.6,13.1,17
Jun-16,16.9,43.7,89.4,8.7
Jun-16,27.5,1.6,20.7,6.9
Jun-16,120.5,28.5,14.2,14.2
Jun-16,5.4,29.9,9.4,5.3
Jul-16,116,7.7,23.1,11
Jul-16,76.4,26.7,22.3,11.8
Jul-16,239.8,4.1,36.9,12.3
Jul-16,75.3,20.3,32.5,11.3
Aug-16,68.4,44.5,35.6,13.6
Aug-16,213.5,43,33.8,21.7
Aug-16,193.2,18.4,65.7,15.2
Aug-16,76.3,27.5,16,12
Sep-16,110.7,40.6,63.2,16
Sep-16,88.3,25.5,73.4,12.9
Sep-16,109.8,47.8,51.4,16.7
Sep-16,134.3,4.9,9.3,11.2
Sep-16,28.6,1.5,33,7.3
Oct-16,217.7,33.5,59,19.4
Oct-16,250.9,36.5,72.3,22.2
Oct-16,107.4,14,10.9,11.5
Oct-16,163.3,31.6,52.9,16.9
Nov-16,197.6,3.5,5.9,11.7
Nov-16,184.9,21,22,15.5
Nov-16,289.7,42.3,51.2,25.4
Nov-16,135.2,41.7,45.9,17.2
Dec-16,222.4,4.3,49.8,11.7
Dec-16,296.4,36.3,100.9,23.8
Dec-16,280.2,10.1,21.4,14.8
Dec-16,187.9,17.2,17.9,14.7
Dec-16,238.2,34.3,5.3,20.7
Jan-17,137.9,46.4,59,19.2
Jan-17,25,11,29.7,7.2
Jan-17,90.4,0.3,23.2,8.7
Jan-17,13.1,0.4,25.6,5.3
Feb-17,255.4,26.9,5.5,19.8
Feb-17,225.8,8.2,56.5,13.4
Feb-17,241.7,38,23.2,21.8
Feb-17,175.7,15.4,2.4,14.1
Mar-17,209.6,20.6,10.7,15.9
Mar-17,78.2,46.8,34.5,14.6
Mar-17,75.1,35,52.7,12.6
Mar-17,139.2,14.3,25.6,12.2
Mar-17,76.4,0.8,14.8,9.4
Apr-17,125.7,36.9,79.2,15.9
Apr-17,19.4,16,22.3,6.6
Apr-17,141.3,26.8,46.2,15.5
Apr-17,18.8,21.7,50.4,7
