area sembrada,area cosechada,produccion,rendimiento,cultivo,municipio,PERIODO
180,20,34,1.7,ARVEJA,CUCAITA,2006B
120,120,180,1.5,ARVEJA,PESCA,2006B
120,120,240,2,ARVEJA,SOCOTA,2006B
100,100,200,2,ARVEJA,SORACA,2006B
1240,140,250,1.79,ARVEJA,TUNJA,2006B
586,496,700,1.41,ARVEJA,CIENEGA,2006B
400,300,630,2.1,ARVEJA,SAMACA,2006B
272,235,165,0.7,ARVEJA,COMBITA,2006B
245,220,340,1.55,ARVEJA,TOCA,2006B
210,210,420,2,ARVEJA,SIACHOQUE,2006B
100,100,50,0.5,ARVEJA,UMBITA,2006B
91,39,68,1.75,ARVEJA,RAMIRIQUI,2006B
90,90,90,1,ARVEJA,CHIQUINQUIRA,2006B
85,85,132,1.55,ARVEJA,GUATEQUE,2006B
80,60,108,1.8,ARVEJA,MONGUI,2006B
72,36,14,0.38,ARVEJA,CHIVATA,2006B
70,60,90,1.5,ARVEJA,BOYACA,2006B
60,60,120,2,ARVEJA,BELEN,2006B
60,54,86,1.59,ARVEJA,FIRAVITOBA,2006B
54,53,56,1.05,ARVEJA,VIRACACHA,2006B
50,50,80,1.6,ARVEJA,BUENAVISTA,2006B
50,50,80,1.6,ARVEJA,JENESANO,2006B
50,50,90,1.8,ARVEJA,SORA,2006B
50,40,72,1.8,ARVEJA,VENTAQUEMADA,2006B
45,45,81,1.8,ARVEJA,CHIQUIZA,2006B
40,40,28,0.7,ARVEJA,CALDAS,2006B
40,40,80,2,ARVEJA,TIBANA,2006B
38,17,20,1.16,ARVEJA,TURMEQUE,2006B
34,34,37,1.1,ARVEJA,TENZA,2006B
30,30,45,1.5,ARVEJA,GACHANTIVA,2006B
30,30,26,0.88,ARVEJA,MONGUA,2006B
30,30,39,1.3,ARVEJA,NUEVO COLON,2006B
30,30,40,1.33,ARVEJA,TOTA,2006B
28,24,48,2,ARVEJA,SUSACON,2006B
25,25,28,1.1,ARVEJA,SOTAQUIRA,2006B
20,18,36,2,ARVEJA,AQUITANIA,2006B
20,20,24,1.2,ARVEJA,BOAVITA,2006B
20,20,20,1,ARVEJA,CUITIVA,2006B
20,20,40,2,ARVEJA,GARAGOA,2006B
20,18,14,0.8,ARVEJA,GUACAMAYAS,2006B
20,18,36,2,ARVEJA,MOTAVITA,2006B
20,20,25,1.25,ARVEJA,PANQUEBA,2006B
20,19,20,1.05,ARVEJA,SANTA ROSA DE VITERBO,2006B
20,20,17,0.84,ARVEJA,SOGAMOSO,2006B
20,20,35,1.75,ARVEJA,TASCO,2006B
16,16,16,1,ARVEJA,SUTATENZA,2006B
15,12,24,2,ARVEJA,SOCHA,2006B
12,11,8,0.7,ARVEJA,CHINAVITA,2006B
10,5,2,0.4,ARVEJA,BUSBANZA,2006B
10,10,8,0.8,ARVEJA,CHISCAS,2006B
10,7,7,1,ARVEJA,CHIVOR,2006B
10,10,7,0.7,ARVEJA,LA CAPILLA,2006B
10,9,15,1.67,ARVEJA,NOBSA,2006B
10,6,6,1,ARVEJA,OICATA,2006B
10,7,13,1.86,ARVEJA,PACHAVITA,2006B
10,10,20,2,ARVEJA,SAN MATEO,2006B
10,10,18,1.8,ARVEJA,TINJACA,2006B
9,9,11,1.23,ARVEJA,MIRAFLORES,2006B
8,8,8,1,ARVEJA,ALMEIDA,2006B
8,7,10,1.5,ARVEJA,GAMEZA,2006B
8,2,2,1,ARVEJA,RONDON,2006B
8,8,10,1.25,ARVEJA,TOPAGA,2006B
6,6,9,1.5,ARVEJA,LA UVITA,2006B
6,6,9,1.5,ARVEJA,PISBA,2006B
5,5,8,1.5,ARVEJA,CORRALES,2006B
5,5,9,1.75,ARVEJA,TUTA,2006B
5,5,10,2,ARVEJA,VILLA DE LEYVA,2006B
4,4,4,1,ARVEJA,ARCABUCO,2006B
4,4,6,1.5,ARVEJA,RAQUIRA,2006B
3,3,2,0.53,ARVEJA,CERINZA,2006B
