area sembrada,area cosechada,produccion,rendimiento
180,20,34,1.7
120,120,180,1.5
120,120,240,2
100,100,200,2
1240,140,250,1.79
586,496,700,1.41
400,300,630,2.1
272,235,165,0.7
245,220,340,1.55
210,210,420,2
100,100,50,0.5
91,39,68,1.75
90,90,90,1
85,85,132,1.55
80,60,108,1.8
72,36,14,0.38
70,60,90,1.5
60,60,120,2
60,54,86,1.59
54,53,56,1.05
50,50,80,1.6
50,50,80,1.6
50,50,90,1.8
50,40,72,1.8
45,45,81,1.8
40,40,28,0.7
40,40,80,2
38,17,20,1.16
34,34,37,1.1
30,30,45,1.5
30,30,26,0.88
30,30,39,1.3
30,30,40,1.33
28,24,48,2
25,25,28,1.1
20,18,36,2
20,20,24,1.2
20,20,20,1
20,20,40,2
20,18,14,0.8
20,18,36,2
20,20,25,1.25
20,19,20,1.05
20,20,17,0.84
20,20,35,1.75
16,16,16,1
15,12,24,2
12,11,8,0.7
10,5,2,0.4
10,10,8,0.8
10,7,7,1
10,10,7,0.7
10,9,15,1.67
10,6,6,1
10,7,13,1.86
10,10,20,2
10,10,18,1.8
9,9,11,1.23
8,8,8,1
8,7,10,1.5
8,2,2,1
8,8,10,1.25
6,6,9,1.5
6,6,9,1.5
5,5,8,1.5
5,5,9,1.75
5,5,10,2
4,4,4,1
4,4,6,1.5
3,3,2,0.53
3,3,2,0.5
2,2,4,2
2,2,4,2
1,1,0,0.4
1000,800,1680,2.1
700,480,600,1.25
386,367,257,0.7
350,350,600,1.71
280,180,294,1.63
250,200,140,0.7
200,190,300,1.58
130,120,195,1.63
120,108,81,0.75
100,100,100,1
100,80,140,1.75
100,96,160,1.67
100,100,50,0.5
70,70,85,1.21
60,60,120,2
60,30,60,2
60,55,110,2
55,50,82,1.65
50,50,90,1.8
49,48,86,1.79
40,40,28,0.7
35,35,55,1.57
30,25,50,2
30,30,45,1.5
30,30,45,1.5
30,30,25,0.84
30,28,56,2
30,26,29,1.1
23,22,23,1.05
21,21,40,1.95
20,20,30,1.5
20,20,40,2
20,20,35,1.75
20,10,10,1
20,20,26,1.3
20,20,25,1.25
20,20,22,1.1
20,20,35,1.75
19,14,14,1
18,18,36,2
15,15,23,1.53
15,15,20,1.33
12,12,8,0.7
12,10,20,2
10,10,12,1.2
10,5,2,0.4
10,10,7,0.7
10,10,12,1.23
10,10,9,0.88
10,8,8,1
10,10,20,2
10,10,18,1.8
10,10,13,1.3
10,10,10,1
8,8,10,1.33
7,7,11,1.5
7,6,8,1.3
6,5,3,0.56
6,6,9,1.5
6,6,12,2
5,5,4,0.8
5,3,5,1.5
5,3,6,2
5,3,5,1.75
4,4,4,1
4,4,4,1
4,1,1,1
3,3,4,1.33
3,3,2,0.5
2,2,4,2
2,2,3,1.8
2606,2000,4200,2.1
600,480,930,1.94
300,300,360,1.2
220,200,320,1.6
180,120,216,1.8
150,120,200,1.67
120,120,180,1.5
100,86,112,1.3
100,85,155,1.82
96,94,94,1
80,80,56,0.7
80,70,49,0.7
80,80,104,1.3
70,70,56,0.8
65,65,98,1.5
62,60,80,1.33
60,60,84,1.4
53,53,56,1.05
50,45,81,1.8
50,40,27,0.66
50,45,56,1.24
50,50,90,1.8
48,47,47,1
40,40,60,1.5
32,30,39,1.3
32,32,35,1.1
31,30,51,1.7
30,30,15,0.5
30,30,25,0.84
30,28,42,1.5
22,21,17,0.81
20,18,36,2
20,18,22,1.2
20,20,18,0.88
20,19,32,1.68
18,18,36,2
18,18,36,2
18,17,17,1
16,16,26,1.67
15,12,18,1.5
15,15,18,1.2
13,12,8,0.7
12,12,18,1.5
10,10,18,1.8
10,10,15,1.5
10,10,7,0.7
10,9,6,0.7
10,10,1,0.1
10,10,15,1.5
10,10,16,1.6
10,10,13,1.3
9,9,9,1
8,8,10,1.3
8,8,1,0.09
8,8,8,1
8,6,10,1.73
7,7,8,1.23
7,5,4,0.7
6,6,8,1.33
6,6,9,1.5
6,6,11,1.83
6,6,10,1.82
5,5,5,1
4,4,5,1.25
3,3,5,1.75
2,1,1,1
2,2,2,0.75
2,2,1,0.4
2,2,3,1.5
1400,1400,2600,1.86
1274,1076,2260,2.1
600,500,940,1.88
309,280,540,1.93
180,60,108,1.8
180,170,325,1.91
152,152,274,1.8
150,140,98,0.7
113,100,94,0.94
100,100,150,1.5
100,100,140,1.4
90,90,90,1
90,80,140,1.75
80,80,156,1.95
70,70,133,1.9
60,60,90,1.5
60,50,90,1.8
57,57,45,0.8
55,50,82,1.64
53,53,56,1.05
50,45,56,1.24
50,50,60,1.2
45,45,60,1.33
36,36,47,1.3
35,35,29,0.84
33,30,53,1.77
30,30,21,0.7
30,30,15,0.5
30,30,32,1.1
25,25,50,2
23,22,23,1.05
21,18,23,1.3
20,15,27,1.8
20,20,18,0.88
18,18,36,2
18,18,23,1.3
15,10,16,1.6
15,15,23,1.53
15,15,23,1.5
15,12,18,1.5
15,14,23,1.64
12,12,12,1
12,12,14,1.18
11,10,7,0.7
10,10,18,1.8
10,6,4,0.7
10,10,1,0.08
10,10,18,1.75
9,9,10,1.23
9,9,1,0.08
9,9,9,1
9,7,10,1.43
8,3,3,1
8,7,11,1.57
7,7,11,1.5
7,7,9,1.3
6,6,9,1.5
6,4,3,0.7
6,5,6,1.2
5,5,8,1.57
5,4,7,1.7
5,5,5,1
5,5,7,1.4
5,5,4,0.8
4,3,3,1
3,3,2,0.75
3,3,5,1.8
3,3,5,1.8
3,3,5,1.67
3,2,1,0.5
2,2,1,0.25
2,2,1,0.7
2349,2030,4263,2.1
400,400,480,1.2
220,200,250,1.25
200,200,360,1.8
200,200,380,1.9
120,120,208,1.73
120,120,180,1.5
120,120,126,1.05
100,100,70,0.7
100,80,120,1.5
